,mean,sd,hdi_3%,hdi_97%
beta_0[tox21-shh-3t3-gli3-antagonist-p1],0.996,0.522,0.272,1.986
beta_0[tox21-rxr-bla-agonist-p1],0.996,0.519,0.301,1.999
beta_0[tox21-pr-bla-antagonist-p1],1.008,0.509,0.323,1.998
beta_0[tox21-ahr-p1],1.006,0.51,0.309,1.988
beta_0[tox21-rt-viability-hepg2-p1],0.985,0.525,0.269,1.981
beta_0[tox21-er-luc-bg1-4e2-antagonist-p2],1.002,0.515,0.297,1.994
beta_0[tox21-esre-bla-p1],0.99,0.52,0.275,1.985
beta_0[tox21-err-p1],0.996,0.519,0.265,1.992
beta_0[tox21-hse-bla-p1],1.001,0.51,0.3,1.972
beta_0[tox21-vdr-bla-antagonist-p1],0.988,0.522,0.275,1.982
beta_0[tox21-sbe-bla-agonist-p1],0.997,0.518,0.291,1.991
beta_0[tox21-fxr-bla-antagonist-p1],0.99,0.515,0.31,1.979
beta_0[tox21-hdac-p1],0.992,0.519,0.277,1.984
beta_0[tox21-er-luc-bg1-4e2-agonist-p4],0.996,0.522,0.277,2.006
beta_0[tox21-car-antagonist-p1],1.009,0.512,0.318,2.025
beta_0[tox21-are-bla-p1],0.996,0.518,0.293,1.994
beta_0[tox21-dt40-p1_657],0.984,0.522,0.239,1.986
beta_0[tox21-rar-antagonist-p2],1.0,0.514,0.306,2.005
beta_0[tox21-dt40-p1_100],0.995,0.522,0.277,1.99
beta_0[tox21-dt40-p1_653],0.992,0.519,0.28,1.988
beta_0[tox21-gr-hela-bla-antagonist-p1],0.995,0.518,0.312,1.992
beta_0[tox21-ppard-bla-antagonist-p1],0.995,0.516,0.299,1.987
beta_0[tox21-er-luc-bg1-4e2-antagonist-p1],0.997,0.512,0.322,1.987
beta_1[tox21-elg1-luc-agonist-p1],-0.662,0.319,-1.271,-0.252
beta_1[tox21-ar-bla-antagonist-p1],-0.665,0.319,-1.262,-0.246
beta_1[tox21-rt-viability-hek293-p1],-0.66,0.319,-1.257,-0.245
beta_1[tox21-shh-3t3-gli3-agonist-p1],-0.658,0.319,-1.273,-0.251
beta_1[tox21-ppard-bla-agonist-p1],-0.655,0.318,-1.258,-0.245
beta_1[tox21-ar-mda-kb2-luc-agonist-p3],-0.67,0.32,-1.275,-0.249
beta_1[tox21-er-bla-antagonist-p1],-0.672,0.321,-1.274,-0.251
beta_1[tox21-p53-bla-p1],-0.66,0.318,-1.274,-0.253
beta_1[tox21-car-agonist-p1],-0.664,0.322,-1.291,-0.253
beta_1[tox21-erb-bla-antagonist-p1],-0.669,0.321,-1.276,-0.252
beta_1[tox21-ar-mda-kb2-luc-antagonist-p1],-0.672,0.321,-1.275,-0.247
beta_1[tox21-pparg-bla-antagonist-p1],-0.67,0.32,-1.272,-0.247
beta_1[tox21-ap1-agonist-p1],-0.673,0.321,-1.276,-0.248
beta_1[tox21-hre-bla-agonist-p1],-0.657,0.319,-1.276,-0.252
beta_1[tox21-pgc-err-p1],-0.663,0.319,-1.266,-0.248
beta_1[tox21-nfkb-bla-agonist-p1],-0.671,0.32,-1.276,-0.249
beta_1[tox21-pr-bla-agonist-p1],-0.663,0.319,-1.274,-0.253
beta_1[tox21-ar-mda-kb2-luc-antagonist-p2],-0.667,0.32,-1.277,-0.254
beta_1[tox21-fxr-bla-agonist-p2],-0.657,0.318,-1.276,-0.253
beta_1[tox21-mitotox-p1],-0.667,0.319,-1.263,-0.246
beta_1[tox21-ror-cho-antagonist-p1],-0.662,0.319,-1.266,-0.247
beta_1[tox21-gh3-tre-antagonist-p1],-0.662,0.319,-1.265,-0.247
beta_1[tox21-vdr-bla-agonist-p1],-0.663,0.319,-1.27,-0.247
beta_1[tox21-sbe-bla-antagonist-p1],-0.668,0.321,-1.275,-0.252
beta_1[tox21-aromatase-p1],-0.668,0.32,-1.274,-0.251
beta_1[tox21-h2ax-cho-p2],-0.665,0.321,-1.273,-0.249
beta_1[tox21-erb-bla-p1],-0.666,0.32,-1.272,-0.249
beta_1[tox21-shh-3t3-gli3-antagonist-p1],-0.663,0.319,-1.271,-0.249
beta_1[tox21-rxr-bla-agonist-p1],-0.656,0.318,-1.263,-0.249
beta_1[tox21-pr-bla-antagonist-p1],-0.662,0.319,-1.276,-0.253
beta_1[tox21-ahr-p1],-0.666,0.319,-1.262,-0.244
beta_1[tox21-rt-viability-hepg2-p1],-0.664,0.319,-1.258,-0.241
beta_1[tox21-er-luc-bg1-4e2-antagonist-p2],-0.667,0.32,-1.273,-0.251
beta_1[tox21-esre-bla-p1],-0.662,0.319,-1.277,-0.253
beta_1[tox21-err-p1],-0.66,0.318,-1.259,-0.244
beta_1[tox21-hse-bla-p1],-0.662,0.319,-1.274,-0.254
beta_1[tox21-vdr-bla-antagonist-p1],-0.666,0.321,-1.273,-0.249
beta_1[tox21-sbe-bla-agonist-p1],-0.668,0.32,-1.272,-0.252
beta_1[tox21-fxr-bla-antagonist-p1],-0.661,0.319,-1.261,-0.247
beta_1[tox21-hdac-p1],-0.668,0.32,-1.274,-0.252
beta_1[tox21-er-luc-bg1-4e2-agonist-p4],-0.668,0.321,-1.279,-0.251
beta_1[tox21-car-antagonist-p1],-0.659,0.32,-1.272,-0.249
beta_1[tox21-are-bla-p1],-0.662,0.319,-1.277,-0.254
beta_1[tox21-dt40-p1_657],-0.666,0.32,-1.267,-0.247
beta_1[tox21-rar-antagonist-p2],-0.666,0.319,-1.268,-0.249
beta_1[tox21-dt40-p1_100],-0.651,0.317,-1.261,-0.248
beta_1[tox21-dt40-p1_653],-0.656,0.32,-1.275,-0.253
beta_1[tox21-gr-hela-bla-antagonist-p1],-0.665,0.319,-1.26,-0.243
beta_1[tox21-ppard-bla-antagonist-p1],-0.664,0.319,-1.266,-0.247
beta_1[tox21-er-luc-bg1-4e2-antagonist-p1],-0.661,0.319,-1.267,-0.248
beta_10[tox21-elg1-luc-agonist-p1],0.004,0.055,-0.1,0.099
beta_10[tox21-ar-bla-antagonist-p1],-0.004,0.056,-0.12,0.091
beta_10[tox21-rt-viability-hek293-p1],0.006,0.054,-0.105,0.104
beta_10[tox21-shh-3t3-gli3-agonist-p1],0.008,0.057,-0.095,0.117
beta_10[tox21-ppard-bla-agonist-p1],-0.007,0.06,-0.131,0.087
beta_10[tox21-ar-mda-kb2-luc-agonist-p3],0.009,0.055,-0.114,0.104
beta_10[tox21-er-bla-antagonist-p1],0.006,0.054,-0.101,0.104
beta_10[tox21-p53-bla-p1],-0.003,0.054,-0.116,0.098
beta_10[tox21-car-agonist-p1],0.011,0.058,-0.104,0.114
beta_10[tox21-erb-bla-antagonist-p1],0.007,0.054,-0.102,0.102
beta_10[tox21-ar-mda-kb2-luc-antagonist-p1],0.011,0.055,-0.104,0.106
beta_10[tox21-pparg-bla-antagonist-p1],0.006,0.059,-0.097,0.117
beta_10[tox21-ap1-agonist-p1],-0.004,0.054,-0.118,0.089
beta_10[tox21-hre-bla-agonist-p1],0.021,0.055,-0.089,0.118
beta_10[tox21-pgc-err-p1],0.013,0.054,-0.091,0.111
beta_10[tox21-nfkb-bla-agonist-p1],0.013,0.055,-0.092,0.114
beta_10[tox21-pr-bla-agonist-p1],0.011,0.053,-0.094,0.105
beta_10[tox21-ar-mda-kb2-luc-antagonist-p2],0.011,0.056,-0.097,0.112
beta_10[tox21-fxr-bla-agonist-p2],0.014,0.056,-0.102,0.112
beta_10[tox21-mitotox-p1],-0.002,0.056,-0.112,0.098
beta_10[tox21-ror-cho-antagonist-p1],-0.0,0.059,-0.114,0.098
beta_10[tox21-gh3-tre-antagonist-p1],0.003,0.055,-0.105,0.099
beta_10[tox21-vdr-bla-agonist-p1],0.006,0.056,-0.107,0.109
beta_10[tox21-sbe-bla-antagonist-p1],0.003,0.055,-0.111,0.095
beta_10[tox21-aromatase-p1],-0.01,0.055,-0.121,0.096
beta_10[tox21-h2ax-cho-p2],0.011,0.055,-0.097,0.11
beta_10[tox21-erb-bla-p1],0.018,0.055,-0.081,0.125
beta_10[tox21-shh-3t3-gli3-antagonist-p1],0.02,0.056,-0.09,0.125
beta_10[tox21-rxr-bla-agonist-p1],0.003,0.054,-0.097,0.11
beta_10[tox21-pr-bla-antagonist-p1],0.01,0.056,-0.096,0.112
beta_10[tox21-ahr-p1],-0.01,0.058,-0.131,0.085
beta_10[tox21-rt-viability-hepg2-p1],0.009,0.056,-0.112,0.103
beta_10[tox21-er-luc-bg1-4e2-antagonist-p2],0.004,0.059,-0.127,0.104
beta_10[tox21-esre-bla-p1],-0.006,0.061,-0.125,0.094
beta_10[tox21-err-p1],0.014,0.054,-0.098,0.11
beta_10[tox21-hse-bla-p1],-0.001,0.059,-0.112,0.107
beta_10[tox21-vdr-bla-antagonist-p1],-0.009,0.058,-0.129,0.09
beta_10[tox21-sbe-bla-agonist-p1],0.001,0.055,-0.112,0.098
beta_10[tox21-fxr-bla-antagonist-p1],0.014,0.058,-0.101,0.113
beta_10[tox21-hdac-p1],-0.001,0.055,-0.111,0.095
beta_10[tox21-er-luc-bg1-4e2-agonist-p4],0.011,0.059,-0.112,0.115
beta_10[tox21-car-antagonist-p1],0.004,0.058,-0.11,0.113
beta_10[tox21-are-bla-p1],0.003,0.056,-0.105,0.109
beta_10[tox21-dt40-p1_657],0.01,0.053,-0.09,0.109
beta_10[tox21-rar-antagonist-p2],0.011,0.054,-0.097,0.105
beta_10[tox21-dt40-p1_100],-0.001,0.061,-0.116,0.134
beta_10[tox21-dt40-p1_653],0.013,0.055,-0.101,0.103
beta_10[tox21-gr-hela-bla-antagonist-p1],0.004,0.053,-0.103,0.105
beta_10[tox21-ppard-bla-antagonist-p1],-0.005,0.056,-0.126,0.089
beta_10[tox21-er-luc-bg1-4e2-antagonist-p1],0.017,0.055,-0.087,0.123
beta_11[tox21-elg1-luc-agonist-p1],-0.094,0.072,-0.24,0.049
beta_11[tox21-ar-bla-antagonist-p1],-0.106,0.069,-0.253,0.031
beta_11[tox21-rt-viability-hek293-p1],-0.105,0.07,-0.262,0.021
beta_11[tox21-shh-3t3-gli3-agonist-p1],-0.093,0.071,-0.229,0.051
beta_11[tox21-ppard-bla-agonist-p1],-0.1,0.07,-0.243,0.042
beta_11[tox21-ar-mda-kb2-luc-agonist-p3],-0.098,0.07,-0.232,0.052
beta_11[tox21-er-bla-antagonist-p1],-0.102,0.073,-0.254,0.035
beta_11[tox21-p53-bla-p1],-0.106,0.071,-0.239,0.048
beta_11[tox21-car-agonist-p1],-0.102,0.072,-0.249,0.039
beta_11[tox21-erb-bla-antagonist-p1],-0.101,0.07,-0.247,0.031
beta_11[tox21-ar-mda-kb2-luc-antagonist-p1],-0.097,0.071,-0.242,0.043
beta_11[tox21-pparg-bla-antagonist-p1],-0.101,0.071,-0.245,0.039
beta_11[tox21-ap1-agonist-p1],-0.084,0.072,-0.221,0.056
beta_11[tox21-hre-bla-agonist-p1],-0.1,0.072,-0.242,0.048
beta_11[tox21-pgc-err-p1],-0.101,0.071,-0.259,0.03
beta_11[tox21-nfkb-bla-agonist-p1],-0.093,0.072,-0.242,0.046
beta_11[tox21-pr-bla-agonist-p1],-0.095,0.074,-0.231,0.06
beta_11[tox21-ar-mda-kb2-luc-antagonist-p2],-0.113,0.073,-0.261,0.023
beta_11[tox21-fxr-bla-agonist-p2],-0.108,0.074,-0.261,0.035
beta_11[tox21-mitotox-p1],-0.108,0.072,-0.262,0.029
beta_11[tox21-ror-cho-antagonist-p1],-0.099,0.068,-0.237,0.028
beta_11[tox21-gh3-tre-antagonist-p1],-0.11,0.073,-0.251,0.042
beta_11[tox21-vdr-bla-agonist-p1],-0.102,0.071,-0.248,0.037
beta_11[tox21-sbe-bla-antagonist-p1],-0.085,0.072,-0.219,0.068
beta_11[tox21-aromatase-p1],-0.103,0.07,-0.241,0.039
beta_11[tox21-h2ax-cho-p2],-0.103,0.07,-0.235,0.039
beta_11[tox21-erb-bla-p1],-0.117,0.075,-0.282,0.017
beta_11[tox21-shh-3t3-gli3-antagonist-p1],-0.109,0.073,-0.254,0.04
beta_11[tox21-rxr-bla-agonist-p1],-0.1,0.072,-0.247,0.04
beta_11[tox21-pr-bla-antagonist-p1],-0.101,0.071,-0.239,0.047
beta_11[tox21-ahr-p1],-0.1,0.069,-0.237,0.04
beta_11[tox21-rt-viability-hepg2-p1],-0.103,0.07,-0.244,0.043
beta_11[tox21-er-luc-bg1-4e2-antagonist-p2],-0.109,0.074,-0.271,0.021
beta_11[tox21-esre-bla-p1],-0.094,0.071,-0.241,0.044
beta_11[tox21-err-p1],-0.109,0.072,-0.261,0.026
beta_11[tox21-hse-bla-p1],-0.106,0.071,-0.242,0.045
beta_11[tox21-vdr-bla-antagonist-p1],-0.105,0.072,-0.26,0.026
beta_11[tox21-sbe-bla-agonist-p1],-0.092,0.071,-0.219,0.059
beta_11[tox21-fxr-bla-antagonist-p1],-0.094,0.07,-0.237,0.045
beta_11[tox21-hdac-p1],-0.099,0.071,-0.236,0.048
beta_11[tox21-er-luc-bg1-4e2-agonist-p4],-0.114,0.073,-0.283,0.014
beta_11[tox21-car-antagonist-p1],-0.1,0.072,-0.237,0.055
beta_11[tox21-are-bla-p1],-0.094,0.071,-0.239,0.04
beta_11[tox21-dt40-p1_657],-0.098,0.068,-0.234,0.042
beta_11[tox21-rar-antagonist-p2],-0.094,0.07,-0.229,0.051
beta_11[tox21-dt40-p1_100],-0.089,0.073,-0.222,0.067
beta_11[tox21-dt40-p1_653],-0.103,0.071,-0.239,0.042
beta_11[tox21-gr-hela-bla-antagonist-p1],-0.103,0.07,-0.249,0.028
beta_11[tox21-ppard-bla-antagonist-p1],-0.093,0.074,-0.25,0.046
beta_11[tox21-er-luc-bg1-4e2-antagonist-p1],-0.104,0.072,-0.257,0.036
beta_12[tox21-elg1-luc-agonist-p1],0.662,0.116,0.454,0.825
beta_12[tox21-ar-bla-antagonist-p1],0.671,0.113,0.454,0.825
beta_12[tox21-rt-viability-hek293-p1],0.661,0.121,0.436,0.825
beta_12[tox21-shh-3t3-gli3-agonist-p1],0.687,0.107,0.475,0.836
beta_12[tox21-ppard-bla-agonist-p1],0.714,0.106,0.5,0.893
beta_12[tox21-ar-mda-kb2-luc-agonist-p3],0.705,0.105,0.494,0.866
beta_12[tox21-er-bla-antagonist-p1],0.677,0.113,0.46,0.833
beta_12[tox21-p53-bla-p1],0.682,0.11,0.463,0.833
beta_12[tox21-car-agonist-p1],0.678,0.114,0.451,0.831
beta_12[tox21-erb-bla-antagonist-p1],0.727,0.115,0.498,0.925
beta_12[tox21-ar-mda-kb2-luc-antagonist-p1],0.669,0.115,0.449,0.821
beta_12[tox21-pparg-bla-antagonist-p1],0.677,0.114,0.461,0.835
beta_12[tox21-ap1-agonist-p1],0.681,0.109,0.463,0.836
beta_12[tox21-hre-bla-agonist-p1],0.678,0.11,0.464,0.833
beta_12[tox21-pgc-err-p1],0.65,0.13,0.415,0.822
beta_12[tox21-nfkb-bla-agonist-p1],0.655,0.123,0.426,0.82
beta_12[tox21-pr-bla-agonist-p1],0.728,0.115,0.478,0.916
beta_12[tox21-ar-mda-kb2-luc-antagonist-p2],0.66,0.119,0.446,0.824
beta_12[tox21-fxr-bla-agonist-p2],0.709,0.109,0.484,0.888
beta_12[tox21-mitotox-p1],0.644,0.135,0.406,0.824
beta_12[tox21-ror-cho-antagonist-p1],0.649,0.127,0.415,0.823
beta_12[tox21-gh3-tre-antagonist-p1],0.719,0.107,0.49,0.889
beta_12[tox21-vdr-bla-agonist-p1],0.691,0.109,0.46,0.834
beta_12[tox21-sbe-bla-antagonist-p1],0.673,0.116,0.452,0.837
beta_12[tox21-aromatase-p1],0.681,0.109,0.466,0.83
beta_12[tox21-h2ax-cho-p2],0.689,0.114,0.467,0.866
beta_12[tox21-erb-bla-p1],0.687,0.109,0.464,0.833
beta_12[tox21-shh-3t3-gli3-antagonist-p1],0.68,0.108,0.472,0.826
beta_12[tox21-rxr-bla-agonist-p1],0.728,0.116,0.514,0.926
beta_12[tox21-pr-bla-antagonist-p1],0.661,0.117,0.452,0.827
beta_12[tox21-ahr-p1],0.681,0.114,0.458,0.83
beta_12[tox21-rt-viability-hepg2-p1],0.673,0.115,0.447,0.829
beta_12[tox21-er-luc-bg1-4e2-antagonist-p2],0.683,0.115,0.459,0.847
beta_12[tox21-esre-bla-p1],0.689,0.11,0.46,0.838
beta_12[tox21-err-p1],0.695,0.11,0.482,0.869
beta_12[tox21-hse-bla-p1],0.728,0.112,0.507,0.934
beta_12[tox21-vdr-bla-antagonist-p1],0.713,0.114,0.482,0.895
beta_12[tox21-sbe-bla-agonist-p1],0.699,0.108,0.478,0.859
beta_12[tox21-fxr-bla-antagonist-p1],0.713,0.104,0.507,0.882
beta_12[tox21-hdac-p1],0.702,0.108,0.482,0.872
beta_12[tox21-er-luc-bg1-4e2-agonist-p4],0.674,0.113,0.458,0.823
beta_12[tox21-car-antagonist-p1],0.69,0.109,0.466,0.845
beta_12[tox21-are-bla-p1],0.687,0.109,0.461,0.835
beta_12[tox21-dt40-p1_657],0.673,0.11,0.474,0.828
beta_12[tox21-rar-antagonist-p2],0.68,0.112,0.465,0.842
beta_12[tox21-dt40-p1_100],0.7,0.106,0.488,0.859
beta_12[tox21-dt40-p1_653],0.697,0.104,0.482,0.843
beta_12[tox21-gr-hela-bla-antagonist-p1],0.681,0.111,0.462,0.837
beta_12[tox21-ppard-bla-antagonist-p1],0.711,0.108,0.472,0.87
beta_12[tox21-er-luc-bg1-4e2-antagonist-p1],0.677,0.117,0.443,0.841
beta_13[tox21-elg1-luc-agonist-p1],-0.248,0.064,-0.367,-0.131
beta_13[tox21-ar-bla-antagonist-p1],-0.223,0.059,-0.33,-0.111
beta_13[tox21-rt-viability-hek293-p1],-0.237,0.063,-0.368,-0.133
beta_13[tox21-shh-3t3-gli3-agonist-p1],-0.214,0.058,-0.326,-0.093
beta_13[tox21-ppard-bla-agonist-p1],-0.245,0.064,-0.379,-0.138
beta_13[tox21-ar-mda-kb2-luc-agonist-p3],-0.22,0.058,-0.332,-0.113
beta_13[tox21-er-bla-antagonist-p1],-0.196,0.062,-0.297,-0.069
beta_13[tox21-p53-bla-p1],-0.232,0.067,-0.367,-0.11
beta_13[tox21-car-agonist-p1],-0.206,0.059,-0.326,-0.1
beta_13[tox21-erb-bla-antagonist-p1],-0.229,0.073,-0.392,-0.084
beta_13[tox21-ar-mda-kb2-luc-antagonist-p1],-0.202,0.066,-0.311,-0.081
beta_13[tox21-pparg-bla-antagonist-p1],-0.218,0.054,-0.313,-0.111
beta_13[tox21-ap1-agonist-p1],-0.194,0.067,-0.309,-0.068
beta_13[tox21-hre-bla-agonist-p1],-0.234,0.062,-0.354,-0.122
beta_13[tox21-pgc-err-p1],-0.236,0.067,-0.379,-0.121
beta_13[tox21-nfkb-bla-agonist-p1],-0.224,0.061,-0.344,-0.112
beta_13[tox21-pr-bla-agonist-p1],-0.214,0.063,-0.345,-0.099
beta_13[tox21-ar-mda-kb2-luc-antagonist-p2],-0.218,0.06,-0.322,-0.096
beta_13[tox21-fxr-bla-agonist-p2],-0.214,0.062,-0.322,-0.092
beta_13[tox21-mitotox-p1],-0.229,0.064,-0.347,-0.112
beta_13[tox21-ror-cho-antagonist-p1],-0.227,0.061,-0.329,-0.11
beta_13[tox21-gh3-tre-antagonist-p1],-0.231,0.059,-0.341,-0.125
beta_13[tox21-vdr-bla-agonist-p1],-0.218,0.057,-0.326,-0.11
beta_13[tox21-sbe-bla-antagonist-p1],-0.219,0.065,-0.342,-0.104
beta_13[tox21-aromatase-p1],-0.228,0.061,-0.347,-0.108
beta_13[tox21-h2ax-cho-p2],-0.239,0.07,-0.362,-0.113
beta_13[tox21-erb-bla-p1],-0.211,0.058,-0.314,-0.105
beta_13[tox21-shh-3t3-gli3-antagonist-p1],-0.23,0.064,-0.362,-0.115
beta_13[tox21-rxr-bla-agonist-p1],-0.232,0.064,-0.347,-0.117
beta_13[tox21-pr-bla-antagonist-p1],-0.209,0.059,-0.315,-0.094
beta_13[tox21-ahr-p1],-0.242,0.075,-0.387,-0.098
beta_13[tox21-rt-viability-hepg2-p1],-0.218,0.064,-0.325,-0.092
beta_13[tox21-er-luc-bg1-4e2-antagonist-p2],-0.211,0.063,-0.333,-0.098
beta_13[tox21-esre-bla-p1],-0.226,0.063,-0.343,-0.113
beta_13[tox21-err-p1],-0.228,0.071,-0.353,-0.09
beta_13[tox21-hse-bla-p1],-0.188,0.069,-0.29,-0.034
beta_13[tox21-vdr-bla-antagonist-p1],-0.244,0.079,-0.432,-0.127
beta_13[tox21-sbe-bla-agonist-p1],-0.223,0.064,-0.339,-0.091
beta_13[tox21-fxr-bla-antagonist-p1],-0.221,0.059,-0.33,-0.114
beta_13[tox21-hdac-p1],-0.182,0.073,-0.294,-0.047
beta_13[tox21-er-luc-bg1-4e2-agonist-p4],-0.237,0.063,-0.359,-0.117
beta_13[tox21-car-antagonist-p1],-0.22,0.057,-0.327,-0.114
beta_13[tox21-are-bla-p1],-0.23,0.064,-0.355,-0.097
beta_13[tox21-dt40-p1_657],-0.215,0.056,-0.306,-0.103
beta_13[tox21-rar-antagonist-p2],-0.236,0.063,-0.341,-0.115
beta_13[tox21-dt40-p1_100],-0.234,0.072,-0.386,-0.107
beta_13[tox21-dt40-p1_653],-0.208,0.064,-0.324,-0.094
beta_13[tox21-gr-hela-bla-antagonist-p1],-0.226,0.064,-0.335,-0.102
beta_13[tox21-ppard-bla-antagonist-p1],-0.218,0.065,-0.334,-0.1
beta_13[tox21-er-luc-bg1-4e2-antagonist-p1],-0.238,0.068,-0.369,-0.128
beta_14[tox21-elg1-luc-agonist-p1],0.61,0.057,0.504,0.723
beta_14[tox21-ar-bla-antagonist-p1],0.606,0.054,0.493,0.708
beta_14[tox21-rt-viability-hek293-p1],0.604,0.059,0.493,0.725
beta_14[tox21-shh-3t3-gli3-agonist-p1],0.603,0.056,0.484,0.705
beta_14[tox21-ppard-bla-agonist-p1],0.612,0.066,0.491,0.765
beta_14[tox21-ar-mda-kb2-luc-agonist-p3],0.614,0.053,0.52,0.72
beta_14[tox21-er-bla-antagonist-p1],0.606,0.051,0.512,0.711
beta_14[tox21-p53-bla-p1],0.603,0.055,0.5,0.732
beta_14[tox21-car-agonist-p1],0.616,0.058,0.493,0.721
beta_14[tox21-erb-bla-antagonist-p1],0.607,0.054,0.522,0.737
beta_14[tox21-ar-mda-kb2-luc-antagonist-p1],0.601,0.053,0.508,0.717
beta_14[tox21-pparg-bla-antagonist-p1],0.612,0.057,0.503,0.719
beta_14[tox21-ap1-agonist-p1],0.612,0.053,0.513,0.716
beta_14[tox21-hre-bla-agonist-p1],0.621,0.058,0.507,0.729
beta_14[tox21-pgc-err-p1],0.615,0.059,0.507,0.738
beta_14[tox21-nfkb-bla-agonist-p1],0.625,0.063,0.519,0.755
beta_14[tox21-pr-bla-agonist-p1],0.612,0.052,0.514,0.718
beta_14[tox21-ar-mda-kb2-luc-antagonist-p2],0.615,0.057,0.516,0.74
beta_14[tox21-fxr-bla-agonist-p2],0.611,0.055,0.515,0.729
beta_14[tox21-mitotox-p1],0.611,0.053,0.519,0.719
beta_14[tox21-ror-cho-antagonist-p1],0.598,0.058,0.478,0.711
beta_14[tox21-gh3-tre-antagonist-p1],0.591,0.055,0.476,0.699
beta_14[tox21-vdr-bla-agonist-p1],0.605,0.06,0.486,0.725
beta_14[tox21-sbe-bla-antagonist-p1],0.625,0.07,0.503,0.77
beta_14[tox21-aromatase-p1],0.619,0.058,0.517,0.737
beta_14[tox21-h2ax-cho-p2],0.609,0.052,0.516,0.723
beta_14[tox21-erb-bla-p1],0.612,0.054,0.516,0.733
beta_14[tox21-shh-3t3-gli3-antagonist-p1],0.601,0.06,0.477,0.725
beta_14[tox21-rxr-bla-agonist-p1],0.619,0.058,0.519,0.744
beta_14[tox21-pr-bla-antagonist-p1],0.615,0.054,0.52,0.732
beta_14[tox21-ahr-p1],0.593,0.055,0.483,0.703
beta_14[tox21-rt-viability-hepg2-p1],0.622,0.07,0.488,0.755
beta_14[tox21-er-luc-bg1-4e2-antagonist-p2],0.626,0.071,0.502,0.78
beta_14[tox21-esre-bla-p1],0.61,0.051,0.521,0.723
beta_14[tox21-err-p1],0.597,0.053,0.491,0.701
beta_14[tox21-hse-bla-p1],0.629,0.065,0.517,0.761
beta_14[tox21-vdr-bla-antagonist-p1],0.636,0.073,0.527,0.79
beta_14[tox21-sbe-bla-agonist-p1],0.624,0.065,0.528,0.783
beta_14[tox21-fxr-bla-antagonist-p1],0.609,0.054,0.506,0.71
beta_14[tox21-hdac-p1],0.621,0.059,0.523,0.744
beta_14[tox21-er-luc-bg1-4e2-agonist-p4],0.619,0.061,0.524,0.754
beta_14[tox21-car-antagonist-p1],0.619,0.059,0.519,0.745
beta_14[tox21-are-bla-p1],0.613,0.057,0.521,0.737
beta_14[tox21-dt40-p1_657],0.601,0.052,0.504,0.712
beta_14[tox21-rar-antagonist-p2],0.616,0.055,0.517,0.726
beta_14[tox21-dt40-p1_100],0.605,0.056,0.491,0.71
beta_14[tox21-dt40-p1_653],0.586,0.058,0.458,0.686
beta_14[tox21-gr-hela-bla-antagonist-p1],0.616,0.07,0.499,0.768
beta_14[tox21-ppard-bla-antagonist-p1],0.597,0.058,0.477,0.705
beta_14[tox21-er-luc-bg1-4e2-antagonist-p1],0.616,0.059,0.504,0.735
beta_15[tox21-elg1-luc-agonist-p1],0.632,0.054,0.544,0.747
beta_15[tox21-ar-bla-antagonist-p1],0.645,0.056,0.543,0.764
beta_15[tox21-rt-viability-hek293-p1],0.637,0.057,0.531,0.745
